userid,vzor_id,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z
,1,1743238435225000000,portrait,,,,,,,,,,,
,2,1743238435225000000,portrait,,,,,,,,,,,
,3,1743238435225000000,portrait,,,,,,,,,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032276000000,,down,145,671,0.176471,0,,,,,,
,1,1743239032319000000,portrait,,,,,,,,,,,
,2,1743239032319000000,portrait,,,,,,,,,,,
,3,1743239032319000000,portrait,,,,,,,,,,,
,1,1743239032344679834,,,,,,,-2.87065,8.90643,2.43011,,,
,1,1743239032344923971,,,,,,,,,,0.0293215,-0.0140499,-0.0494801
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032351000000,,move,145,671,0.278431,0,,,,,,
,1,1743239032364760194,,,,,,,-2.8491,9.22007,1.86748,,,
,1,1743239032365004332,,,,,,,,,,0.0293215,-0.0140499,-0.0494801
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032384000000,,move,145,690,0.25098,0,,,,,,
,1,1743239032384840553,,,,,,,-2.32716,8.60237,1.44131,,,
,1,1743239032385084692,,,,,,,,,,0.0293215,-0.0140499,-0.0494801
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032401000000,,move,145,728,0.25098,0,,,,,,
,1,1743239032404920914,,,,,,,-2.38702,7.77637,3.09091,,,
,1,1743239032405165052,,,,,,,,,,0.0293215,-0.0140499,-0.0494801
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032417000000,,move,143,780,0.239216,0,,,,,,
,1,1743239032425001273,,,,,,,-2.44687,7.81467,4.64715,,,
,1,1743239032425245412,,,,,,,,,,-1.31886,-1.08795,-0.290161
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032434000000,,move,142,838,0.223529,0,,,,,,
,1,1743239032445081634,,,,,,,-2.34153,7.71651,5.86819,,,
,1,1743239032445325772,,,,,,,,,,-1.26755,-1.19119,-0.296881
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032450000000,,move,142,898,0.219608,0,,,,,,
,1,1743239032465161994,,,,,,,-2.54504,7.36456,6.42843,,,
,1,1743239032465436649,,,,,,,,,,-1.10444,-1.19058,-0.314596
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032467000000,,move,143,955,0.219608,0,,,,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032484000000,,move,145,1002,0.219608,0,,,,,,
,1,1743239032485242354,,,,,,,-2.27449,7.21373,6.77799,,,
,1,1743239032485517010,,,,,,,,,,-0.873537,-1.11483,-0.28222
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032501000000,,move,149,1039,0.215686,0,,,,,,
,1,1743239032505322714,,,,,,,-2.40857,7.42921,6.24647,,,
,1,1743239032505597369,,,,,,,,,,-0.468534,-0.774577,-0.195477
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032517000000,,move,153,1067,0.219608,0,,,,,,
,1,1743239032525403074,,,,,,,-2.31759,7.65187,5.79636,,,
,1,1743239032525677730,,,,,,,,,,-0.333532,-0.498466,-0.130725
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032534000000,,move,157,1092,0.219608,0,,,,,,
,1,1743239032545483434,,,,,,,-2.12605,7.50343,5.70538,,,
,1,1743239032545758089,,,,,,,,,,-0.296881,-0.302378,-0.0928515
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032551000000,,move,161,1114,0.223529,0,,,,,,
,1,1743239032565563794,,,,,,,-2.25055,7.58483,5.95199,,,
,1,1743239032565838449,,,,,,,,,,-0.278555,-0.32498,-0.105069
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032567000000,,move,164,1130,0.223529,0,,,,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1743239032584000000,,move,168,1141,0.227451,0,,,,,,
