userid,vzor_id,ATMS_1,ATMS_2,ATMS_3,ATMS_4,ATMS_5,ATMS_6,ATMS_7,ATMS_8,max_TMS_1,max_TMS_2,max_TMS_3,max_TMS_4,max_TMS_5,max_TMS_6,max_TMS_7,max_TMS_8,min_TMS_1,min_TMS_2,min_TMS_3,min_TMS_4,min_TMS_5,min_TMS_6,min_TMS_7,min_TMS_8,length_1,length_2,length_3,length_4,length_5,length_6,length_7,length_8,accel_x_1,accel_x_2,accel_x_3,accel_x_4,accel_x_5,accel_x_6,accel_x_7,accel_x_8,accel_y_1,accel_y_2,accel_y_3,accel_y_4,accel_y_5,accel_y_6,accel_y_7,accel_y_8,accel_z_1,accel_z_2,accel_z_3,accel_z_4,accel_z_5,accel_z_6,accel_z_7,accel_z_8,max_accel_x_1,max_accel_x_2,max_accel_x_3,max_accel_x_4,max_accel_x_5,max_accel_x_6,max_accel_x_7,max_accel_x_8,min_accel_x_1,min_accel_x_2,min_accel_x_3,min_accel_x_4,min_accel_x_5,min_accel_x_6,min_accel_x_7,min_accel_x_8,max_accel_y_1,max_accel_y_2,max_accel_y_3,max_accel_y_4,max_accel_y_5,max_accel_y_6,max_accel_y_7,max_accel_y_8,min_accel_y_1,min_accel_y_2,min_accel_y_3,min_accel_y_4,min_accel_y_5,min_accel_y_6,min_accel_y_7,min_accel_y_8,max_accel_z_1,max_accel_z_2,max_accel_z_3,max_accel_z_4,max_accel_z_5,max_accel_z_6,max_accel_z_7,max_accel_z_8,min_accel_z_1,min_accel_z_2,min_accel_z_3,min_accel_z_4,min_accel_z_5,min_accel_z_6,min_accel_z_7,min_accel_z_8,total_accel_1,total_accel_2,total_accel_3,total_accel_4,total_accel_5,total_accel_6,total_accel_7,total_accel_8,gyro_x_1,gyro_x_2,gyro_x_3,gyro_x_4,gyro_x_5,gyro_x_6,gyro_x_7,gyro_x_8,gyro_y_1,gyro_y_2,gyro_y_3,gyro_y_4,gyro_y_5,gyro_y_6,gyro_y_7,gyro_y_8,gyro_z_1,gyro_z_2,gyro_z_3,gyro_z_4,gyro_z_5,gyro_z_6,gyro_z_7,gyro_z_8,max_gyro_x_1,max_gyro_x_2,max_gyro_x_3,max_gyro_x_4,max_gyro_x_5,max_gyro_x_6,max_gyro_x_7,max_gyro_x_8,min_gyro_x_1,min_gyro_x_2,min_gyro_x_3,min_gyro_x_4,min_gyro_x_5,min_gyro_x_6,min_gyro_x_7,min_gyro_x_8,max_gyro_y_1,max_gyro_y_2,max_gyro_y_3,max_gyro_y_4,max_gyro_y_5,max_gyro_y_6,max_gyro_y_7,max_gyro_y_8,min_gyro_y_1,min_gyro_y_2,min_gyro_y_3,min_gyro_y_4,min_gyro_y_5,min_gyro_y_6,min_gyro_y_7,min_gyro_y_8,max_gyro_z_1,max_gyro_z_2,max_gyro_z_3,max_gyro_z_4,max_gyro_z_5,max_gyro_z_6,max_gyro_z_7,max_gyro_z_8,min_gyro_z_1,min_gyro_z_2,min_gyro_z_3,min_gyro_z_4,min_gyro_z_5,min_gyro_z_6,min_gyro_z_7,min_gyro_z_8,total_gyro_1,total_gyro_2,total_gyro_3,total_gyro_4,total_gyro_5,total_gyro_6,total_gyro_7,total_gyro_8
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1.79e-06,3.7e-07,1.13e-06,1.8e-06,4e-08,,,3.13e-06,4e-06,4.6e-07,2.34e-06,3.07e-06,4e-08,,,3.56e-06,7e-08,2.8e-07,3.4e-07,1.8e-07,4e-08,,,2.69e-06,286.17474135,12.28238563,246.52534163,425.31821254,1.0,,,164.16029533,-2.37451667,-1.71305,-1.98610091,-1.98718818,-2.01592,,,-2.236185,7.74843444,7.60518,7.75286,7.63467455,7.71891,,,7.81228,5.35476444,5.97473,5.43331545,5.35952818,5.74369,,,4.85065,-1.80283,-1.68791,-1.79805,-1.7765,-2.01592,,,-1.96325,-3.33512,-1.73819,-2.13802,-2.09253,-2.01592,,,-2.50912,8.36055,7.67102,7.9703,7.83383,7.71891,,,7.82904,7.20415,7.53934,7.44357,7.31429,7.71891,,,7.79552,7.16106,6.34463,6.92882,6.45716,5.74369,,,5.27203,3.7182,5.60483,4.88417,4.62081,5.74369,,,4.42927,9.82977781,9.82754794,9.68787304,9.54764202,9.83033468,,,9.4755538,-0.35552371,-0.01160645,0.04953569,0.1954769,0.133779,,,-0.7000515,-1,-1.0,0.0,0.0,0.0,,,-1.0,-0.08110931,-0.08765915,0.00288775,-0.02299074,0.0372628,,,-0.0448986,0.0824668,0.0299324,0.133169,0.319483,0.133779,,,-0.602313,-0.808175,-0.0531453,-0.022602,0.0177151,0.133779,,,-0.79779,-0.672563,-0.44471,0.156382,0.239459,0.29627,,,-1.10139,-1.08306,-0.595594,-0.286496,-0.138056,0.29627,,,-1.15698,0.0836885,-0.0824668,0.0415388,0.0372628,0.0372628,,,-0.0213803,-0.22602,-0.0928515,-0.107512,-0.0934624,0.0372628,,,-0.0684169,0.98838329,0.52946711,0.12529749,0.24762428,0.32720215,,,1.33311994
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1.62e-06,,1.96e-06,1.12e-06,,,,,3.31e-06,,4.29e-06,3.5e-06,,,,,5e-08,,1.4e-07,2.9e-07,,,,,485.94314703,,316.30790557,355.60863546,,,,,-2.84000333,,-2.62613875,-2.59980437,,,,,7.58546933,,7.52168375,7.47783938,,,,,5.286238,,5.4309475,5.33068938,,,,,-2.47082,,-2.43969,-2.31759,,,,,-3.42371,,-2.89698,-2.79882,,,,,8.58561,,7.68778,7.71891,,,,,7.18979,,7.34541,7.24007,,,,,6.42843,,5.89452,5.7796,,,,,3.02148,,5.09726,4.68785,,,,,9.73870985,,9.64563103,9.55091668,,,,,-0.35865929,,0.09972366,0.05043456,,,,,-1,,0.0,0.0,,,,,-0.13475694,,0.03123048,-0.02703078,,,,,0.0659734,,0.180816,0.131336,,,,,-0.703106,,-0.0549779,-0.0977384,,,,,-0.086132,,0.0965167,0.129503,,,,,-0.968221,,-0.0934624,-0.187536,,,,,0.0122173,,0.0775799,0.0219911,,,,,-0.21869,,-0.0329867,-0.0629191,,,,,0.65952995,,0.13554221,0.14041596,,,,
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1.72e-06,,1.66e-06,1.59e-06,6e-08,,,4.21e-06,4.06e-06,,3.04e-06,3.29e-06,6e-08,,,4.42e-06,2.7e-07,,3.8e-07,1.7e-07,6e-08,,,4.01e-06,352.0779454,,193.63965671,471.13487404,1.0,,,139.29136006,-2.35775667,,-2.54982429,-2.42857571,-2.71981,,,-2.554615,7.29646444,,7.46238571,7.34369786,7.22331,,,7.401675,6.02806778,,5.55352143,5.72539143,6.2752,,,4.91769,-1.95127,,-2.29843,-1.98479,-2.71981,,,-2.50673,-3.26809,,-2.81558,-2.84431,-2.71981,,,-2.6025,8.36295,,7.54892,7.69496,7.22331,,,7.56807,6.9791,,7.36935,7.07247,7.22331,,,7.23528,7.38611,,6.17704,7.01262,6.2752,,,5.42526,3.24175,,5.14993,4.52265,6.2752,,,4.41012,9.82623828,,9.65169086,9.64264562,9.94744735,,,9.26104332,-0.449936,,0.0468621,0.13591752,0.121562,,,-0.750448,-1,,0.0,0.0,0.0,,,-1.0,-0.16106477,,-8.726e-05,0.00418878,0.0794125,,,-0.1768455,-0.076969,,0.122784,0.276722,0.121562,,,-0.74831,-0.666454,,-0.00916298,0.00610865,0.121562,,,-0.752586,-0.241292,,0.369573,0.40256,0.376904,,,-1.03175,-1.26632,,0.168599,-0.171653,0.376904,,,-1.20035,-0.0500909,,0.0256563,0.0696386,0.0794125,,,-0.142942,-0.287107,,-0.0274889,-0.0867429,0.0794125,,,-0.210749,0.90634918,,0.30354947,0.27899218,0.40390629,,,1.35744742
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1.55e-06,5.3e-07,1.05e-06,2.16e-06,,,,2.34e-06,3.18e-06,5.9e-07,2.43e-06,3.22e-06,,,,3.69e-06,7.6e-07,4.2e-07,4e-07,3.3e-07,,,,9.9e-07,280.44617131,26.40454388,256.29587458,407.81859874,,,,175.11500857,-1.82704222,-1.52430667,-2.29865182,-2.343684,,,,-2.467225,5.96369111,5.62797,5.93696727,5.654385,,,,6.002265,7.45900222,8.84577667,7.10794909,7.281965,,,,6.353015,-1.0319,-1.23301,-1.52989,-1.69988,,,,-1.73101,-2.42772,-1.88424,-2.80122,-3.0981,,,,-3.20344,6.39252,5.77242,6.34224,6.03818,,,,6.12437,5.59525,5.46596,5.72693,5.27203,,,,5.88016,8.27436,9.09557,7.56089,7.61596,,,,6.69419,6.87615,8.55209,6.69658,6.52659,,,,6.01184,9.74206334,10.59921152,9.55442246,9.53234234,,,,9.11848414,-0.31839656,0.00407229,0.03559673,0.1064127,,,,-0.4324925,-1,0.0,0.0,0.0,,,,-1.0,-0.15828192,-0.25798867,-0.06258594,-0.0746478,,,,0.03481934,-0.143553,0.26145,0.466701,0.425773,,,,-0.399506,-0.417221,-0.249844,-0.131336,-0.12706,,,,-0.465479,-0.354302,-0.45876,0.368352,0.496023,,,,-1.25411,-1.57909,-0.483194,-0.39523,-0.243735,,,,-1.63956,-0.00733038,-0.221133,0.109345,0.160047,,,,0.0623083,-0.350026,-0.300546,-0.314596,-0.323759,,,,0.00733038,0.85688277,0.57253201,0.31352633,0.36819143,,,,1.51320465
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1.27e-06,3.6e-07,1.26e-06,1.74e-06,,,,2.72e-06,2.65e-06,3.6e-07,2.96e-06,2.56e-06,,,,2.92e-06,5e-08,3.6e-07,4.6e-07,1.7e-07,,,,2.38e-06,244.92245786,12.16552506,417.2407161,269.64373684,,,,185.44235371,-2.70997,-1.5682,-1.94169688,-2.4313125,,,,-2.69906333,5.97645889,6.15549,6.07154625,5.74399125,,,,6.19858667,7.36110667,7.75721,7.22779625,7.2496425,,,,6.60320667,-1.98958,-1.5682,-0.40462,-1.84114,,,,-2.58095,-4.09648,-1.5682,-3.02148,-3.39737,,,,-2.9329,6.81629,6.15549,6.38055,6.20817,,,,6.21056,5.22415,6.15549,5.68623,5.33189,,,,6.17943,8.67898,7.75721,7.8458,7.87692,,,,6.92403,6.36618,7.75721,6.50026,6.54575,,,,6.4404,9.9067562,10.02614659,9.66871155,9.58027696,,,,9.45344299,-0.23436866,0.0891863,0.03367389,0.18669575,,,,-0.31765,-1,0.0,0.0,0.0,,,,-1.0,-0.09203708,0.00794125,-0.01920407,-0.19356779,,,,-0.0961094,0.0390954,0.0891863,0.24679,0.326202,,,,-0.244346,-0.601702,0.0891863,-0.133169,-0.0293215,,,,-0.422108,-0.405615,-0.436158,0.274889,0.216857,,,,-0.74098,-1.26022,-0.436158,-0.543059,-0.486249,,,,-1.43798,0.194255,0.00794125,0.252898,0.118508,,,,0.0146608,-0.333532,0.00794125,-0.324369,-0.424551,,,,-0.198531,0.81974618,0.44525393,0.26630302,0.41639665,,,,1.19116194
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1.32e-06,3.2e-07,1.23e-06,1.72e-06,1.8e-07,,,2.34e-06,2.41e-06,3.4e-07,2.19e-06,2.39e-06,1.8e-07,,,3.13e-06,1e-08,3e-07,2.4e-07,1.7e-07,1.8e-07,,,6.7e-07,243.15418009,10.92997141,259.6740063,421.71173244,3.0,,,246.96417571,-2.15451667,-1.35991,-1.98327,-1.86029333,-2.30322,,,-2.81654,5.77454889,5.595245,6.13742818,5.9753275,5.96874,,,6.482542,7.65905111,8.431185,7.10490182,7.054715,7.29274,,,6.64391,-1.7334,-1.2402,-1.52271,-1.17076,-2.30322,,,-2.62165,-2.99754,-1.47962,-2.48758,-2.20027,-2.30322,,,-3.11486,6.37815,5.63834,6.39012,6.22253,5.96874,,,7.55371,5.36541,5.55215,5.69102,5.74369,5.96874,,,5.8227,8.3414,8.88728,8.27915,7.96072,7.29274,,,7.8027,5.22654,7.97509,6.51462,6.50026,7.29274,,,5.87777,9.87269177,10.21360007,9.61242897,9.43980392,9.70127498,,,9.73997189,-0.15454901,0.1597415,0.06058671,0.12935072,-0.158825,,,-0.540738,-1,0.0,0.0,0.0,0.0,,,-1.0,-0.22086178,-0.1450805,-0.00660842,-0.01949674,-0.109345,,,-0.15369362,0.130114,0.177151,0.37385,0.525955,-0.158825,,,-0.493579,-0.473421,0.142332,-0.105069,-0.161879,-0.158825,,,-0.602313,-0.522901,-0.365908,0.485027,0.441045,0.474642,,,-0.920574,-1.16187,-0.434325,-0.284052,-0.274889,0.474642,,,-1.21623,0.18326,-0.132558,0.0842994,0.168599,-0.109345,,,0.108734,-0.356745,-0.157603,-0.207083,-0.21869,-0.109345,,,-0.288328,0.99196684,0.45595133,0.31340819,0.31493692,0.51231508,,,1.21660773
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1.4e-06,,1.37e-06,1.19e-06,,,,2.08e-06,2.59e-06,,2.46e-06,2.15e-06,,,,2.88e-06,1e-07,,1.5e-07,1.9e-07,,,,1.13e-06,264.27774553,,345.88241193,346.0480013,,,,184.1632246,-2.42639222,,-2.12586692,-2.38530929,,,,-3.4997275,5.62876778,,5.99950077,5.80457071,,,,6.0477525,7.65665667,,7.37322077,6.993975,,,,6.6463025,-1.40779,,-1.5706,-1.35751,,,,-2.74376,-4.55617,,-2.87304,-3.52666,,,,-4.46519,6.21774,,6.29675,6.29675,,,,6.22253,5.27203,,5.75327,5.18345,,,,5.56173,8.79151,,8.75799,7.73806,,,,7.66623,6.38534,,6.64391,6.59842,,,,5.76524,9.87593009,,9.75763762,9.42230079,,,,9.69433816,-0.18835014,,0.07151825,0.12967797,,,,-0.34926225,-1,,0.0,0.0,,,,-1.0,-0.12733146,,0.05483686,-0.04812745,,,,-0.08063413,0.067806,,0.268781,0.492357,,,,-0.295048,-0.43799,,-0.0335976,-0.0690278,,,,-0.408058,-0.224188,,0.378736,0.411112,,,,-0.376904,-1.48379,,-0.205251,-0.249844,,,,-1.3323,-0.0219911,,0.161879,0.150884,,,,0.00366519,-0.19059,,-0.0904081,-0.251676,,,,-0.216246,0.78626329,,0.28626843,0.28461931,,,,1.03946976
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1.39e-06,4.8e-07,1.55e-06,1.29e-06,,,,2.45e-06,2.77e-06,4.8e-07,2.79e-06,2.35e-06,,,,3.09e-06,3e-08,4.8e-07,3e-07,1.5e-07,,,,1.71e-06,258.2389138,15.8113883,273.44691601,398.28007943,,,,174.38535914,-2.260127,-1.9824,-2.19867667,-2.20394267,,,,-2.96961,5.910804,5.81552,6.16586778,5.99859267,,,,6.18581667,7.502949,8.34619,7.18234,6.99075133,,,,6.36618,-1.25217,-1.9824,-1.1995,-1.16598,,,,-2.29604,-4.25689,-1.9824,-2.97839,-3.3878,,,,-3.81157,6.45716,5.81552,6.59842,6.39491,,,,6.40688,5.68384,5.81552,5.87058,5.47075,,,,6.01902,8.30549,8.34619,8.24324,7.70933,,,,7.59201,5.97353,8.34619,6.608,6.47632,,,,5.16429,9.8779859,10.36383472,9.7439306,9.50072146,,,,9.42715096,-0.24465132,0.108123,0.08260251,0.15739966,,,,-0.39136133,-1,0.0,0.0,0.0,,,,-1.0,-0.10024299,-0.20464,0.02477391,-0.04658861,,,,0.0109956,0.00549779,0.108123,0.232129,0.483194,,,,-0.332922,-0.398284,0.108123,-0.0421497,-0.0445932,,,,-0.428217,-0.425162,-0.345139,0.304211,0.347582,,,,-0.911411,-1.16675,-0.345139,-0.248011,-0.252898,,,,-1.44225,0.0592539,-0.20464,0.185703,0.0940733,,,,0.0739147,-0.191201,-0.20464,-0.160658,-0.353691,,,,-0.0733038,0.74233754,0.41555871,0.22782299,0.30303419,,,,1.2794886
Vdz0RsiozHP4K6UydnPn7SYRwwE2,1,1.73e-06,3.9e-07,1.32e-06,1.43e-06,,,,1.99e-06,2.82e-06,3.9e-07,2.5e-06,2.34e-06,,,,2.34e-06,2.7e-07,3.9e-07,3e-07,2.4e-07,,,,1.65e-06,335.84870814,12.72792206,307.84612647,378.16733713,,,,105.07627085,-2.403539,-2.14999,-2.4392925,-2.01548227,,,,-3.69784,5.692215,5.63595,6.07349167,5.92369,,,,6.06092,7.569988,9.62469,7.29832583,6.88115273,,,,6.040575,-1.08218,-2.14999,-1.41976,-0.804452,,,,-3.52426,-4.01268,-2.14999,-3.5937,-3.29203,,,,-3.87142,6.21535,5.63595,6.59842,6.19859,,,,6.16028,5.32949,5.63595,5.74369,5.42287,,,,5.96156,8.95192,9.62469,8.63828,7.82186,,,,6.24887,6.25605,9.62469,6.4835,5.91128,,,,5.83228,9.83960304,11.3587432,9.83136938,9.34104439,,,,9.32634468,-0.343734,0.0158825,0.0870483,0.24773353,,,,-0.4657845,-1,0.0,0.0,0.0,,,,-1.0,-0.11215485,-0.0971276,0.03161232,-0.04126108,,,,-0.100182,-0.144164,0.0158825,0.489303,0.475864,,,,-0.456927,-0.516181,0.0158825,-0.0824668,-0.0733038,,,,-0.474642,-0.620028,-0.398895,0.244957,0.278555,,,,-0.760527,-1.36162,-0.398895,-0.237016,-0.0849103,,,,-0.980439,0.0531453,-0.0971276,0.160658,0.18326,,,,-0.095295,-0.222966,-0.0971276,-0.0574213,-0.281609,,,,-0.105069,1.04256311,0.41085672,0.2175935,0.36350487,,,,0.99333951
Vdz0RsiozHP4K6UydnPn7SYRwwE2,2,1e-06,5.9e-07,9.9e-07,,,,,3.04e-06,2.64e-06,1.18e-06,2.36e-06,,,,,3.51e-06,2.3e-07,2e-07,1.2e-07,,,,,2.43e-06,362.6300165,62.38057961,386.65918038,,,,,151.71636326,-1.85123157,-1.3463395,-0.76324632,,,,,-1.65838433,3.84064143,3.64477,3.81169368,,,,,4.52264667,8.73610071,9.42118167,8.75836684,,,,,8.55288667,-0.198719,-0.574608,-0.148441,,,,,-0.725443,-4.06057,-2.14281,-1.8579,,,,,-3.1795,4.75488,3.87142,4.30477,,,,,4.66869,3.28245,3.40455,3.20105,,,,,4.3766,10.5776,10.1538,9.9934,,,,,9.17458,7.37414,8.98065,7.70933,,,,,7.56328,9.8175456,10.20876966,9.6028032,,,,,9.89607744,-0.28832846,0.07055489,0.15805335,,,,,-0.50294567,0,0.0,0.0,,,,,-1.0,-0.18509219,-0.13530662,-0.02025502,,,,,-0.07004593,0.139888,0.352469,0.504575,,,,,-0.343917,-0.662789,-0.0665843,-0.0384845,,,,,-0.634078,-0.180205,-0.145997,0.394008,,,,,-0.384234,-0.778242,-0.519846,-0.660345,,,,,-1.26999,0.022602,0.0580322,0.147219,,,,,0.0274889,-0.588263,-0.326202,-0.294437,,,,,-0.213803,0.64725628,0.39491556,0.34008327,,,,,1.04771187
