userid,vzor_id,timestamp,orientation,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z
Vdz0RsiozHP4K6UydnPn7SYRwwE2,2,1743239067289000000,,move,116,921,0.258824,0,-4.36942,5.31992,6.63912,-0.439212,-0.0207694,0.0268781
Vdz0RsiozHP4K6UydnPn7SYRwwE2,2,1743239067322000000,,move,102,973,0.235294,0,-3.87621,5.68623,4.98712,-0.532064,-0.519235,0.107512
Vdz0RsiozHP4K6UydnPn7SYRwwE2,2,1743239067339000000,,move,99,1025,0.235294,0,-0.876278,5.7389,6.24647,-0.638354,-1.48868,0.0647517
Vdz0RsiozHP4K6UydnPn7SYRwwE2,2,1743239067355000000,,move,100,1088,0.231373,0,0.162806,4.97036,7.56089,-0.779464,-1.72569,-0.313374
Vdz0RsiozHP4K6UydnPn7SYRwwE2,2,1743239067372000000,,move,105,1146,0.227451,0,-1.21147,4.0869,7.77158,-1.02442,-1.25411,-0.696997
Vdz0RsiozHP4K6UydnPn7SYRwwE2,2,1743239067389000000,,move,112,1198,0.247059,0,-3.02627,3.24654,9.27274,-1.17164,-0.943787,-0.77641
Vdz0RsiozHP4K6UydnPn7SYRwwE2,2,1743239067406000000,,move,124,1238,0.258824,0,-1.88424,3.41653,11.0349,-0.959058,-1.01526,-0.462425
Vdz0RsiozHP4K6UydnPn7SYRwwE2,2,1743239067439000000,,move,142,1290,0.278431,0,-0.591368,4.21858,11.0397,-0.548557,-1.00854,-0.171042
Vdz0RsiozHP4K6UydnPn7SYRwwE2,2,1743239067456000000,,move,147,1306,0.286275,0,-1.17555,4.66151,9.13627,-0.128893,-0.83322,-0.163101
Vdz0RsiozHP4K6UydnPn7SYRwwE2,2,1743239067472000000,,move,150,1319,0.294118,0,-1.51074,4.67827,8.06367,-0.0519235,-0.678671,-0.200975
Vdz0RsiozHP4K6UydnPn7SYRwwE2,2,1743239067489000000,,move,153,1328,0.294118,0,-1.34554,4.72376,8.36295,-0.319483,-0.563218,-0.151495
Vdz0RsiozHP4K6UydnPn7SYRwwE2,2,1743239067539000000,,move,185,1350,0.27451,0,-0.0430956,4.93684,9.21049,-0.294437,-0.940122,-0.228464
Vdz0RsiozHP4K6UydnPn7SYRwwE2,2,1743239067556000000,,move,208,1359,0.25098,0,0.459687,4.66151,9.18176,-0.128893,-1.17592,-0.456927
